IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes
3205802,How to Get Away with Murder,43.0,"Crime, Drama, Mystery            ",8.1,128511,    A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King",2014,2020,90
1442437,Modern Family,22.0,"Comedy, Drama, Romance            ",8.4,353677,    Three different but related families face trials and tribulations in their own uniquely comedic ways.,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",2009,2020,250
5834204,The Handmaid's Tale,60.0,"Drama, Sci-Fi, Thriller            ",8.4,171013,"    Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd",2017, ,47
0421482,Winx Club,25.0,"Animation, Action, Adventure            ",6.1,4554,"    At Alfea College, fairy warriors from all over the universe study to improve their supernatural powers. Bloom from planet Earth joins them upon discovery of her magical ability.","Letizia Ciampa, Gemma Donati, Domitilla D'Amico, Perla Liberatori",2004, ,211
0306414,The Wire,59.0,"Crime, Drama, Thriller            ",9.3,284406,"    The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",2002,2008,60
1124373,Sons of Anarchy,45.0,"Crime, Drama, Thriller            ",8.5,259145,    A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",2008,2014,92
1405406,The Vampire Diaries,43.0,"Drama, Fantasy, Horror            ",7.7,282163,"    The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",2009,2017,171
8712204,Batwoman,45.0,"Action, Adventure, Crime            ",3.5,31609,    Kate Kane seeks justice for Gotham City as Batwoman.,"Camrus Johnson, Rachel Skarsten, Meagan Tandy, Nicole Kang",2019, ,26
7718088,Bonding,107.0,"Comedy, Drama            ",7.2,11697,    A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman",2018, ,15
5296406,Designated Survivor,60.0,"Action, Drama, Mystery            ",7.5,77050,    A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn",2016,2019,53
0458290,Star Wars: The Clone Wars,23.0,"Animation, Action, Adventure            ",8.3,62748,    Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",2008,2020,133
0773262,Dexter,53.0,"Crime, Drama, Mystery            ",8.6,645127,"    By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",2006,2021,106
1796960,Homeland,55.0,"Crime, Drama, Mystery            ",8.3,312058,    A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",2011,2020,96
5607976,His Dark Materials,60.0,"Adventure, Drama, Family            ",7.9,51066,    A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,"Dafne Keen, Amir Wilson, Kit Connor, Ruth Wilson",2019, ,23
8103070,Legacies,45.0,"Adventure, Drama, Fantasy            ",7.5,18840,"    Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.","Danielle Rose Russell, Aria Shahghasemi, Quincy Fouse, Peyton 'Alex' Smith",2018, ,37
1043813,Titans,45.0,"Action, Adventure, Crime            ",7.7,66100,    A team of young superheroes combat evil and other perils.,"Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter", 2018, ,29
2356777,True Detective,55.0,"Crime, Drama, Mystery            ",9.0,497945,"    Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",2014, ,24
7491982,FBI,60.0,"Crime, Drama, Mystery            ",6.8,10301,"    Procedural drama about the inner workings of the New York office of the FBI, bringing to bear all the Bureau's skills, intellect and mind-blowing technology to keep New York and the country safe.","Missy Peregrym, Zeeko Zaki, Jeremy Sisto, Ebonee Noel",2018, ,47
0238784,Gilmore Girls,44.0,"Comedy, Drama            ",8.1,100617,"    A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson",2000,2007,154
7660850,Succession,60.0,Drama            ,8.6,45040,"    The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Brian Cox, Kieran Culkin, Sarah Snook, Jeremy Strong",2018, ,21
